,SampleID,Env
0,SRR1686980,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
1,SRR1686981,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
2,SRR1686982,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
3,SRR1687009,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
4,SRR1687039,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
5,SRR1687040,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
6,SRR1687041,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
7,SRR1687042,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
8,SRR1687043,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
9,SRR1687044,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
10,SRR1687045,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
11,SRR1687047,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
12,SRR1687049,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
13,SRR1687050,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
14,SRR1687052,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
15,SRR1687055,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
16,SRR1687056,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
17,SRR1687058,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
18,SRR1687059,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
19,SRR1687061,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
20,SRR1687062,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
21,SRR1687063,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
22,SRR1687064,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
23,SRR1687065,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
24,SRR1687066,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
25,SRR1687067,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
26,SRR1687068,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
