# Constructed from biom file
# OTU ID	SRR6314145	taxonomy
207119	503.0	sk__Archaea
87214	2.0	sk__Archaea;k__;p__Candidatus_Diapherotrites
33554	11.0	sk__Archaea;k__;p__Crenarchaeota
107380	191.0	sk__Archaea;k__;p__Euryarchaeota
133302	1.0	sk__Archaea;k__;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium
133627	1.0	sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum
111078	20.0	sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae
106763	4.0	sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae
238692	1.0	sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus
208883	4.0	sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina
49361	1.0	sk__Archaea;k__;p__Euryarchaeota;c__Thermoplasmata
81594	1.0	sk__Archaea;k__;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales
85569	1.0	sk__Archaea;k__;p__Nanoarchaeota
35271	1.0	sk__Archaea;k__;p__Nanoarchaeota;c__;o__;f__;g__;s__Nanoarchaeota_archaeon_SCGC_AAA011-D5
177245	7.0	sk__Archaea;k__;p__Thaumarchaeota
219484	1.0	sk__Archaea;k__;p__Thaumarchaeota;c__;o__;f__;g__Candidatus_Nitrosotalea
245976	2.0	sk__Archaea;k__;p__Thaumarchaeota;c__;o__;f__;g__Candidatus_Nitrosotenuis
257365	2.0	sk__Archaea;k__;p__Thaumarchaeota;c__;o__Nitrosopumilales
118090	21.0	sk__Archaea;k__;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae
153156	4.0	sk__Archaea;k__;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Candidatus_Nitrosoarchaeum
103181	5581.0	sk__Bacteria
7651	1.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_enrichment_culture_clone_B209(2011)
261394	1.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_enrichment_culture_clone_auto67_4W
83222	561.0	sk__Bacteria;k__;p__Acidobacteria
