# Constructed from biom file
# OTU ID	SRR6320263	taxonomy
207119	9.0	sk__Archaea
118090	2.0	sk__Archaea;k__;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae
103181	14566.0	sk__Bacteria
181064	4.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__BTEX-degrading_bacterium_enrichment_culture
180546	4.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__Parcubacteria_group_bacterium_GW2011_GWD2_42_14
199093	15.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__arsenic-oxidizing_bacterium_B09
244863	1.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_BW3SW37
10167	1.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_EFC301
140827	2.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_Ellin6529
171186	1.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_SCGC_AG-212-C10
207368	1.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_T33.8
52331	1.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_TG141
12577	1.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_WH6-7
135451	27.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_WH8-7
157217	1.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_YC-ZSS-LKJ159
215090	1.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_YC-ZSS-LKJ66
107765	1.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_YC-ZSS-LKJ79
66033	8.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_endosymbiont_of_Onthophagus_Taurus
46332	3.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_enrichment_culture_clone_B213(2011)
205208	1.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_enrichment_culture_clone_B92(2011)
205577	2.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_enrichment_culture_clone_DSR_6
28964	1.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_enrichment_culture_clone_LCB_B2C39
43733	1.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_enrichment_culture_clone_R1492-8
73020	1.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_enrichment_culture_clone_R4-48B
77814	1.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_enrichment_culture_clone_heteroA10_4W
142724	12.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_symbiont_of_Idas_sp.
85843	1.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__candidate_division_Kazan_bacterium_RBG_13_50_9
208309	3.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__denitrifying_bacterium_enrichment_culture_clone_NOB_2_A7
101475	2.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__iron-reducing_bacterium_enrichment_culture_clone_FEA_2_B5
