t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,PR-AUC,F-max
0.0,0,117296,0,1294,0.0109,1.0,0.0,1.0,1.0,1.0,0.0109,0.0216,0.9874,0.8988,0.8862
0.001,67516,49779,7,1286,0.5802,0.9946,0.5756,0.9946,0.4244,0.9946,0.0252,0.0491,0.9874,0.8988,0.8862
0.002,99315,17980,25,1268,0.8482,0.9807,0.8467,0.9807,0.1533,0.9807,0.0659,0.1235,0.9874,0.8988,0.8862
0.003,104684,12611,34,1259,0.8934,0.9737,0.8925,0.9737,0.1075,0.9737,0.0908,0.1661,0.9874,0.8988,0.8862
0.004,109046,8249,65,1228,0.9299,0.9497,0.9297,0.9497,0.0703,0.9497,0.1296,0.228,0.9874,0.8988,0.8862
0.005,110861,6434,77,1216,0.9451,0.9404,0.9451,0.9404,0.0549,0.9404,0.159,0.2719,0.9874,0.8988,0.8862
0.006,112086,5209,79,1214,0.9554,0.9389,0.9556,0.9389,0.0444,0.9389,0.189,0.3147,0.9874,0.8988,0.8862
0.007,112987,4308,83,1210,0.963,0.9358,0.9633,0.9358,0.0367,0.9358,0.2193,0.3553,0.9874,0.8988,0.8862
0.008,113602,3693,90,1203,0.9681,0.9304,0.9685,0.9304,0.0315,0.9304,0.2457,0.3888,0.9874,0.8988,0.8862
0.009,114285,3010,94,1199,0.9738,0.9273,0.9743,0.9273,0.0257,0.9273,0.2849,0.4358,0.9874,0.8988,0.8862
0.01,114620,2675,97,1196,0.9766,0.925,0.9772,0.925,0.0228,0.925,0.309,0.4632,0.9874,0.8988,0.8862
0.011,114881,2414,101,1192,0.9788,0.9219,0.9794,0.9219,0.0206,0.9219,0.3306,0.4866,0.9874,0.8988,0.8862
0.012,115090,2205,107,1186,0.9805,0.9172,0.9812,0.9172,0.0188,0.9172,0.3497,0.5064,0.9874,0.8988,0.8862
0.013,115270,2025,107,1186,0.982,0.9172,0.9827,0.9172,0.0173,0.9172,0.3694,0.5266,0.9874,0.8988,0.8862
0.014,115431,1864,108,1185,0.9834,0.9165,0.9841,0.9165,0.0159,0.9165,0.3887,0.5458,0.9874,0.8988,0.8862
0.015,115554,1741,109,1184,0.9844,0.9157,0.9852,0.9157,0.0148,0.9157,0.4048,0.5614,0.9874,0.8988,0.8862
0.016,115658,1637,110,1183,0.9853,0.9149,0.986,0.9149,0.014,0.9149,0.4195,0.5752,0.9874,0.8988,0.8862
0.017,115759,1536,111,1182,0.9861,0.9142,0.9869,0.9142,0.0131,0.9142,0.4349,0.5894,0.9874,0.8988,0.8862
0.018,115836,1459,114,1179,0.9867,0.9118,0.9876,0.9118,0.0124,0.9118,0.4469,0.5998,0.9874,0.8988,0.8862
0.019,115929,1366,114,1179,0.9875,0.9118,0.9884,0.9118,0.0116,0.9118,0.4633,0.6144,0.9874,0.8988,0.8862
