t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,PR-AUC,F-max
0.0,0,36150,0,82440,0.6952,1.0,0.0,1.0,1.0,1.0,0.6952,0.8202,0.9948,0.9975,0.9805
0.001,0,36150,0,82440,0.6952,1.0,0.0,1.0,1.0,1.0,0.6952,0.8202,0.9948,0.9975,0.9805
0.002,0,36150,0,82440,0.6952,1.0,0.0,1.0,1.0,1.0,0.6952,0.8202,0.9948,0.9975,0.9805
0.003,0,36150,0,82440,0.6952,1.0,0.0,1.0,1.0,1.0,0.6952,0.8202,0.9948,0.9975,0.9805
0.004,2,36147,0,82440,0.6952,1.0,0.0001,1.0,0.9999,1.0,0.6952,0.8202,0.9948,0.9975,0.9805
0.005,5,36144,0,82440,0.6952,1.0,0.0001,1.0,0.9999,1.0,0.6952,0.8202,0.9948,0.9975,0.9805
0.006,288,35861,0,82440,0.6976,1.0,0.008,1.0,0.992,1.0,0.6969,0.8214,0.9948,0.9975,0.9805
0.007,741,35408,0,82440,0.7014,1.0,0.0205,1.0,0.9795,1.0,0.6995,0.8232,0.9948,0.9975,0.9805
0.008,23456,12693,122,82317,0.8919,0.9985,0.6489,0.9985,0.3511,0.9985,0.8664,0.9278,0.9948,0.9975,0.9805
0.009,24429,11720,128,82311,0.9001,0.9984,0.6758,0.9984,0.3242,0.9984,0.8754,0.9329,0.9948,0.9975,0.9805
0.01,24894,11255,129,82310,0.904,0.9984,0.6886,0.9984,0.3114,0.9984,0.8797,0.9353,0.9948,0.9975,0.9805
0.011,25177,10972,133,82306,0.9064,0.9984,0.6965,0.9984,0.3035,0.9984,0.8824,0.9368,0.9948,0.9975,0.9805
0.012,25441,10708,133,82306,0.9086,0.9984,0.7038,0.9984,0.2962,0.9984,0.8849,0.9382,0.9948,0.9975,0.9805
0.013,25642,10507,137,82302,0.9102,0.9983,0.7093,0.9983,0.2907,0.9983,0.8868,0.9393,0.9948,0.9975,0.9805
0.014,25850,10299,139,82300,0.912,0.9983,0.7151,0.9983,0.2849,0.9983,0.8888,0.9404,0.9948,0.9975,0.9805
0.015,26033,10116,143,82296,0.9135,0.9983,0.7202,0.9983,0.2798,0.9983,0.8905,0.9413,0.9948,0.9975,0.9805
0.016,26203,9946,148,82291,0.9149,0.9982,0.7249,0.9982,0.2751,0.9982,0.8922,0.9422,0.9948,0.9975,0.9805
0.017,26382,9767,149,82290,0.9164,0.9982,0.7298,0.9982,0.2702,0.9982,0.8939,0.9432,0.9948,0.9975,0.9805
0.018,26541,9608,149,82290,0.9177,0.9982,0.7342,0.9982,0.2658,0.9982,0.8954,0.944,0.9948,0.9975,0.9805
0.019,26672,9477,149,82290,0.9188,0.9982,0.7378,0.9982,0.2622,0.9982,0.8967,0.9447,0.9948,0.9975,0.9805
0.02,26794,9355,153,82286,0.9198,0.9981,0.7412,0.9981,0.2588,0.9981,0.8979,0.9454,0.9948,0.9975,0.9805
0.021,26908,9241,153,82286,0.9208,0.9981,0.7444,0.9981,0.2556,0.9981,0.899,0.946,0.9948,0.9975,0.9805
0.022,27009,9140,157,82282,0.9216,0.9981,0.7472,0.9981,0.2528,0.9981,0.9,0.9465,0.9948,0.9975,0.9805
0.023,27115,9034,159,82280,0.9225,0.9981,0.7501,0.9981,0.2499,0.9981,0.9011,0.9471,0.9948,0.9975,0.9805
0.024,27216,8933,163,82276,0.9233,0.998,0.7529,0.998,0.2471,0.998,0.9021,0.9476,0.9948,0.9975,0.9805
0.025,27305,8844,165,82274,0.924,0.998,0.7553,0.998,0.2447,0.998,0.9029,0.9481,0.9948,0.9975,0.9805
0.026,27394,8755,168,82271,0.9248,0.998,0.7578,0.998,0.2422,0.998,0.9038,0.9486,0.9948,0.9975,0.9805
0.027,27502,8647,170,82269,0.9257,0.9979,0.7608,0.9979,0.2392,0.9979,0.9049,0.9491,0.9948,0.9975,0.9805
0.028,27593,8556,171,82268,0.9264,0.9979,0.7633,0.9979,0.2367,0.9979,0.9058,0.9496,0.9948,0.9975,0.9805
0.029,27680,8469,173,82266,0.9271,0.9979,0.7657,0.9979,0.2343,0.9979,0.9067,0.9501,0.9948,0.9975,0.9805
0.03,27783,8366,177,82262,0.928,0.9979,0.7686,0.9979,0.2314,0.9979,0.9077,0.9506,0.9948,0.9975,0.9805
0.031,27877,8272,179,82260,0.9287,0.9978,0.7712,0.9978,0.2288,0.9978,0.9086,0.9511,0.9948,0.9975,0.9805
0.032,27948,8201,182,82257,0.9293,0.9978,0.7731,0.9978,0.2269,0.9978,0.9093,0.9515,0.9948,0.9975,0.9805
0.033,28020,8129,184,82255,0.9299,0.9978,0.7751,0.9978,0.2249,0.9978,0.9101,0.9519,0.9948,0.9975,0.9805
0.034,28093,8056,184,82255,0.9305,0.9978,0.7771,0.9978,0.2229,0.9978,0.9108,0.9523,0.9948,0.9975,0.9805
