t,TN,FP,FN,TP,Acc,Sn,Sp,TPR,FPR,Rc,Pr,F1,ROC-AUC,PR-AUC,F-max
0.0,0,118591,0,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
0.001,116714,1876,0,0,0.9842,1.0,0.9842,1.0,0.0158,1.0,0.0,0.0,1.0,0.0,1.0
0.002,117262,1328,0,0,0.9888,1.0,0.9888,1.0,0.0112,1.0,0.0,0.0,1.0,0.0,1.0
0.003,117424,1166,0,0,0.9902,1.0,0.9902,1.0,0.0098,1.0,0.0,0.0,1.0,0.0,1.0
0.004,117509,1081,0,0,0.9909,1.0,0.9909,1.0,0.0091,1.0,0.0,0.0,1.0,0.0,1.0
0.005,117574,1016,0,0,0.9914,1.0,0.9914,1.0,0.0086,1.0,0.0,0.0,1.0,0.0,1.0
0.006,117703,887,0,0,0.9925,1.0,0.9925,1.0,0.0075,1.0,0.0,0.0,1.0,0.0,1.0
0.007,117831,759,0,0,0.9936,1.0,0.9936,1.0,0.0064,1.0,0.0,0.0,1.0,0.0,1.0
0.008,117921,669,0,0,0.9944,1.0,0.9944,1.0,0.0056,1.0,0.0,0.0,1.0,0.0,1.0
0.009,117995,595,0,0,0.995,1.0,0.995,1.0,0.005,1.0,0.0,0.0,1.0,0.0,1.0
0.01,118049,541,0,0,0.9954,1.0,0.9954,1.0,0.0046,1.0,0.0,0.0,1.0,0.0,1.0
0.011,118091,499,0,0,0.9958,1.0,0.9958,1.0,0.0042,1.0,0.0,0.0,1.0,0.0,1.0
0.012,118132,458,0,0,0.9961,1.0,0.9961,1.0,0.0039,1.0,0.0,0.0,1.0,0.0,1.0
0.013,118153,437,0,0,0.9963,1.0,0.9963,1.0,0.0037,1.0,0.0,0.0,1.0,0.0,1.0
0.014,118196,394,0,0,0.9967,1.0,0.9967,1.0,0.0033,1.0,0.0,0.0,1.0,0.0,1.0
0.015,118226,364,0,0,0.9969,1.0,0.9969,1.0,0.0031,1.0,0.0,0.0,1.0,0.0,1.0
0.016,118251,339,0,0,0.9971,1.0,0.9971,1.0,0.0029,1.0,0.0,0.0,1.0,0.0,1.0
0.017,118269,321,0,0,0.9973,1.0,0.9973,1.0,0.0027,1.0,0.0,0.0,1.0,0.0,1.0
0.018,118289,301,0,0,0.9975,1.0,0.9975,1.0,0.0025,1.0,0.0,0.0,1.0,0.0,1.0
0.019,118304,286,0,0,0.9976,1.0,0.9976,1.0,0.0024,1.0,0.0,0.0,1.0,0.0,1.0
0.02,118329,261,0,0,0.9978,1.0,0.9978,1.0,0.0022,1.0,0.0,0.0,1.0,0.0,1.0
0.021,118345,245,0,0,0.9979,1.0,0.9979,1.0,0.0021,1.0,0.0,0.0,1.0,0.0,1.0
0.022,118366,224,0,0,0.9981,1.0,0.9981,1.0,0.0019,1.0,0.0,0.0,1.0,0.0,1.0
0.023,118396,194,0,0,0.9984,1.0,0.9984,1.0,0.0016,1.0,0.0,0.0,1.0,0.0,1.0
0.024,118411,179,0,0,0.9985,1.0,0.9985,1.0,0.0015,1.0,0.0,0.0,1.0,0.0,1.0
0.025,118426,164,0,0,0.9986,1.0,0.9986,1.0,0.0014,1.0,0.0,0.0,1.0,0.0,1.0
0.026,118435,155,0,0,0.9987,1.0,0.9987,1.0,0.0013,1.0,0.0,0.0,1.0,0.0,1.0
0.027,118445,145,0,0,0.9988,1.0,0.9988,1.0,0.0012,1.0,0.0,0.0,1.0,0.0,1.0
0.028,118461,129,0,0,0.9989,1.0,0.9989,1.0,0.0011,1.0,0.0,0.0,1.0,0.0,1.0
0.029,118469,121,0,0,0.999,1.0,0.999,1.0,0.001,1.0,0.0,0.0,1.0,0.0,1.0
0.03,118479,111,0,0,0.9991,1.0,0.9991,1.0,0.0009,1.0,0.0,0.0,1.0,0.0,1.0
0.031,118487,103,0,0,0.9991,1.0,0.9991,1.0,0.0009,1.0,0.0,0.0,1.0,0.0,1.0
0.032,118496,94,0,0,0.9992,1.0,0.9992,1.0,0.0008,1.0,0.0,0.0,1.0,0.0,1.0
0.033,118504,86,0,0,0.9993,1.0,0.9993,1.0,0.0007,1.0,0.0,0.0,1.0,0.0,1.0
0.034,118509,81,0,0,0.9993,1.0,0.9993,1.0,0.0007,1.0,0.0,0.0,1.0,0.0,1.0
0.035,118514,76,0,0,0.9994,1.0,0.9994,1.0,0.0006,1.0,0.0,0.0,1.0,0.0,1.0
0.036,118516,74,0,0,0.9994,1.0,0.9994,1.0,0.0006,1.0,0.0,0.0,1.0,0.0,1.0
0.037,118525,65,0,0,0.9995,1.0,0.9995,1.0,0.0005,1.0,0.0,0.0,1.0,0.0,1.0
0.038,118528,62,0,0,0.9995,1.0,0.9995,1.0,0.0005,1.0,0.0,0.0,1.0,0.0,1.0
0.039,118534,56,0,0,0.9995,1.0,0.9995,1.0,0.0005,1.0,0.0,0.0,1.0,0.0,1.0
0.04,118537,53,0,0,0.9996,1.0,0.9996,1.0,0.0004,1.0,0.0,0.0,1.0,0.0,1.0
0.041,118543,47,0,0,0.9996,1.0,0.9996,1.0,0.0004,1.0,0.0,0.0,1.0,0.0,1.0
0.042,118546,44,0,0,0.9996,1.0,0.9996,1.0,0.0004,1.0,0.0,0.0,1.0,0.0,1.0
0.043,118549,41,0,0,0.9997,1.0,0.9997,1.0,0.0003,1.0,0.0,0.0,1.0,0.0,1.0
0.044,118549,41,0,0,0.9997,1.0,0.9997,1.0,0.0003,1.0,0.0,0.0,1.0,0.0,1.0
0.045,118551,39,0,0,0.9997,1.0,0.9997,1.0,0.0003,1.0,0.0,0.0,1.0,0.0,1.0
0.046,118557,33,0,0,0.9997,1.0,0.9997,1.0,0.0003,1.0,0.0,0.0,1.0,0.0,1.0
0.047,118562,28,0,0,0.9998,1.0,0.9998,1.0,0.0002,1.0,0.0,0.0,1.0,0.0,1.0
