,phylum,order,genus
0,sk__Archaea;p__,sk__Archaea;p__;c__;o__,sk__Archaea;p__;c__;o__;f__;g__
1,sk__Archaea;p__Euryarchaeota,sk__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales,sk__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter
2,sk__Archaea;p__Euryarchaeota,sk__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales,sk__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum
3,sk__Archaea;p__Euryarchaeota,sk__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales,sk__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea
4,sk__Archaea;p__Euryarchaeota,sk__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales,sk__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula
5,sk__Bacteria;p__,sk__Bacteria;p__;c__;o__,sk__Bacteria;p__;c__;o__;f__;g__
6,sk__Bacteria;p__Candidatus Kapabacteria,sk__Bacteria;p__Candidatus Kapabacteria;c__;o__,sk__Bacteria;p__Candidatus Kapabacteria;c__;o__;f__;g__
7,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__;o__,sk__Bacteria;p__Acidobacteria;c__;o__;f__;g__
8,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidobacterium
9,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__;f__;g__
10,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Blastocatella
11,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales,sk__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Stenotrophobacter
12,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Holophagae;o__,sk__Bacteria;p__Acidobacteria;c__Holophagae;o__;f__;g__
13,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales,sk__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Geothrix
14,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales,sk__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Bryobacteraceae;g__Paludibaculum
15,sk__Bacteria;p__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__,sk__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__;g__
16,sk__Bacteria;p__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__;f__;g__
17,sk__Bacteria;p__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__
18,sk__Bacteria;p__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__
19,sk__Bacteria;p__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Aquihabitans
20,sk__Bacteria;p__Actinobacteria,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales,sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Iamia
