#SampleID	ERR1757884	ERR1757885	ERR1757886
Root	961658	319	236984
Root;k__Archaea;p__Crenarchaeota;c__MBGA;o__NRP-J;f__;g__;s__	0	0	27
Root;k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Nitrosopumilus;s__	3	0	0
Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__	0	0	1
Root;k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__[Methanomassiliicoccaceae];g__;s__	0	0	3
Root;k__Bacteria;p__;c__;o__;f__;g__;s__	10	0	6
Root;k__Bacteria;p__AD3;c__;o__;f__;g__;s__	0	0	21
Root;k__Bacteria;p__AD3;c__ABS-6;o__;f__;g__;s__	0	0	1686
Root;k__Bacteria;p__AD3;c__JG37-AG-4;o__;f__;g__;s__	0	0	429
Root;k__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__	0	0	457
Root;k__Bacteria;p__Acidobacteria;c__AT-s2-57;o__;f__;g__;s__	12	0	1
Root;k__Bacteria;p__Acidobacteria;c__AT-s54;o__;f__;g__;s__	1	0	25
Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__;f__;g__;s__	0	0	986
Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__;f__;g__;s__	0	0	44
Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__BPC015;f__;g__;s__	92	0	49
Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21;f__;g__;s__	49	0	1960
Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__;s__	92	1	15092
Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__RB40;g__;s__	2	1	3172
Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__mb2424;g__;s__	0	0	1408
