#SampleID	SRR1141250	SRR1143350	SRR1145430	SRR1145431	SRR1143324	SRR1145435	SRR1145427	SRR1145428	SRR1141249	SRR1143339	SRR1145429
sk__Archaea	0	0	7	0	1	0	2	25	6	1	2
sk__Archaea;k__;p__Crenarchaeota	0	1	0	0	1	0	0	3	0	0	1
sk__Archaea;k__;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium	0	0	1	0	0	0	1	0	0	1	2
sk__Bacteria	6179	6127	6140	0	2887	0	5094	9056	5054	1652	4415
sk__Bacteria;k__;p__;c__;o__Haloplasmatales;f__Haloplasmataceae	0	0	0	0	0	0	0	1	0	0	0
sk__Bacteria;k__;p__;c__;o__Haloplasmatales;f__Haloplasmataceae;g__Haloplasma	0	0	5	0	0	0	0	5	0	0	0
sk__Bacteria;k__;p__;c__Candidatus_Babeliae;o__Candidatus_Babeliales	46	73	114	0	34	0	28	190	79	10	68
sk__Bacteria;k__;p__;c__Candidatus_Babeliae;o__Candidatus_Babeliales;f__Candidatus_Babeliaceae	18	8	44	0	9	0	1	69	11	3	24
sk__Bacteria;k__;p__;c__Candidatus_Babeliae;o__Candidatus_Babeliales;f__Candidatus_Babeliaceae;g__Candidatus_Babela	0	0	2	0	0	0	1	1	0	0	1
sk__Bacteria;k__;p__;c__Candidatus_Babeliae;o__Candidatus_Babeliales;f__Candidatus_Babeliaceae;g__Candidatus_Babela;s__Candidatus_Babela_massiliensis	0	1	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria	15205	1561	3402	0	9390	0	1240	5558	14084	520	2920
sk__Bacteria;k__;p__Acidobacteria;c__;o__;f__;g__;s__Acidobacteria_bacterium_CB_286367	0	1	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__;o__;f__;g__;s__Acidobacteria_bacterium_Ellin7137	1	0	1	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__;o__;f__;g__;s__Acidobacteria_bacterium_IGE-018	14	2	0	0	8	0	3	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__;o__;f__;g__;s__Acidobacteria_bacterium_LWQ4	0	9	0	0	0	0	7	0	0	1	0
sk__Bacteria;k__;p__Acidobacteria;c__Acidobacteriia	5531	46	6531	0	6145	0	30	11030	6383	3	4186
