#SampleID	SRR1141249	SRR1141250	SRR1143324	SRR1143339	SRR1143350	SRR1145427	SRR1145428	SRR1145429	SRR1145430	SRR1145431	SRR1145432	SRR1145433	SRR1145434	SRR1145435	SRR1145436	SRR1145437	SRR1145438	SRR1145439
Root	94642	88691	60038	63340	209150	132306	257295	210832	164035	0	1	1	1	5	1	1	1	1
Root;k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__;c__;o__;f__;g__;s__	1	2	0	0	1	0	2	2	2	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__AD3;c__;o__;f__;g__;s__	2	2	3	0	0	0	19	22	22	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__AD3;c__ABS-6;o__;f__;g__;s__	259	358	184	2	3	2	1888	1320	1397	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__AD3;c__JG37-AG-4;o__;f__;g__;s__	50	20	20	0	0	1	49	27	35	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__	36	33	13	3	0	2	16	7	11	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__AT-s54;o__;f__;g__;s__	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__;f__;g__;s__	881	880	750	5	7	9	722	272	491	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__;f__;g__;s__	0	0	0	4	1	2	1	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21;f__;g__;s__	189	143	97	13	51	37	136	37	103	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__;s__	5789	5444	3159	176	465	518	1384	1009	1085	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__RB40;g__;s__	650	806	470	6	14	20	110	58	71	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__mb2424;g__;s__	216	206	94	52	153	101	10	17	4	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__	1178	2424	1597	10	46	25	2037	639	813	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidicapsa;s__borealis	7	7	3	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidobacterium;s__	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Edaphobacter;s__	12	69	36	2	1	3	37	26	20	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Edaphobacter;s__modestum	53	204	65	1	0	6	13	16	4	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella;s__paludicola	1	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Telmatobacter;s__bradus	3	3	4	0	0	1	4	0	3	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus;s__	2	4	2	5	18	0	19	8	1	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__	3472	5196	5092	14	52	49	19134	6553	10891	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__CandidatusKoribacter;s__	1437	1476	1669	13	35	46	4362	1208	2069	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__CandidatusKoribacter;s__versatilis	30	20	43	0	3	10	1058	300	539	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__BPC102;o__;f__;g__;s__	0	1	2	0	0	0	24	2	1	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__BPC102;o__B110;f__;g__;s__	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__BPC102;o__MVS-40;f__;g__;s__	0	0	0	1	2	0	33	27	25	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__	4230	3337	3863	3	22	15	5769	2529	4110	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__EC1113;o__;f__;g__;s__	35	33	37	0	0	0	105	25	43	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__;s__	5	7	5	6	23	5	1667	1053	1929	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Geothrix;s__	0	0	0	0	2	0	521	366	695	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__PAUC37f;o__;f__;g__;s__	1	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__RB25;o__;f__;g__;s__	633	752	812	1	0	8	47	4	31	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__S035;o__;f__;g__;s__	0	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__Solibacteres;o__JH-WHS99;f__;g__;s__	4	1	3	0	6	0	1	1	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__;s__	2635	2701	2104	21	102	56	1230	852	1106	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__AKIW659;g__;s__	0	0	0	0	1	0	17	11	3	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__MVS-65;g__;s__	5	14	4	0	0	0	2	3	4	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__PAUC26f;g__;s__	4	7	5	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__PK34;g__;s__	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__;s__	121	119	68	1	9	3	33	22	40	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__CandidatusSolibacter;s__	2676	2668	1600	5	25	23	937	659	1038	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__[Bryobacteraceae];g__;s__	31	43	26	1	0	0	8	1	11	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__[Bryobacteraceae];g__Bryobacter;s__	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725;f__;g__;s__	148	168	116	13	93	23	82	33	88	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__TM1;o__;f__;g__;s__	65	89	84	1	0	0	210	83	93	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__11-24;f__;g__;s__	13	7	4	0	1	2	5	9	14	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__;f__;g__;s__	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__DS-100;f__;g__;s__	16	8	1	0	4	1	2	0	2	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__Ellin7246;f__;g__;s__	87	65	25	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__PK29;f__;g__;s__	328	329	223	9	30	18	4	1	1	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__;g__;s__	5098	5659	2922	35	72	64	461	561	457	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__Ellin6075;g__;s__	4394	6623	2792	424	1458	907	675	518	682	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__iii1-8;o__32-20;f__;g__;s__	1688	1902	1840	0	7	8	3358	1217	2145	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__iii1-8;o__DS-18;f__;g__;s__	1406	1708	1022	13	259	151	3345	391	2355	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Acidobacteria;c__iii1-8;o__SJA-36;f__;g__;s__	64	80	39	0	0	2	475	418	330	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__	838	798	479	54	144	125	269	290	259	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__AKIW874;g__;s__	11	13	10	2	16	21	0	4	1	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__;s__	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__C111;g__;s__	649	457	240	35	204	65	50	49	59	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__EB1017;g__;s__	1489	1009	542	53	360	136	585	519	748	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__;s__	4	13	1	0	1	1	3	2	2	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Iamia;s__	36	75	15	11	87	73	2	3	2	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Microthrixaceae;g__;s__	84	38	20	0	7	4	0	2	1	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__wb1_P06;g__;s__	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__;g__;s__	1	0	1	0	0	0	2	1	3	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__;s__	370	240	178	74	223	196	109	84	93	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__ACK-M1;g__;s__	1	0	0	0	1	0	7	4	8	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__;s__	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Bogoriella;s__caseolytica	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinospicaceae;g__;s__	3	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;g__;s__	0	0	0	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;g__Actinoalloteichus;s__	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;g__Actinokineospora;s__diospyrosa	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;g__Kibdelosporangium;s__	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;g__Kutzneria;s__	1	4	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;g__Lentzea;s__albidocapillata	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Beutenbergiaceae;g__;s__	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Bogoriellaceae;g__Georgenia;s__	1	0	1	127	399	291	2	0	1	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__;s__	0	0	0	0	6	3	1	1	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Actinotalea;s__	2	0	0	11	32	22	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas;s__	17	12	6	19	107	54	9	15	39	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas;s__uda	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas;s__xylanilytica	210	95	40	2	5	5	7	10	13	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Demequina;s__	86	60	32	206	690	274	10	5	14	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__	0	0	1	7	39	10	0	1	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cryptosporangiaceae;g__;s__	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cryptosporangiaceae;g__Cryptosporangium;s__	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium;s__	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium;s__conglomeratum	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermacoccaceae;g__Dermacoccus;s__	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Frankiaceae;g__;s__	33	54	41	3	2	3	9	2	5	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Frankiaceae;g__Frankia;s__	5	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__;s__	0	1	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Geodermatophilus;s__	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Geodermatophilus;s__obscurus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Modestobacter;s__	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Glycomycetaceae;g__Glycomyces;s__	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__;s__	50	70	31	30	113	90	49	42	51	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Janibacter;s__	50	34	11	28	196	98	2	8	7	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Knoellia;s__	49	18	10	7	21	4	3	8	2	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Kribbia;s__dieselivorans	1	0	0	4	14	3	0	0	0	0	0	0	0	0	0	0	0	0
