epoch,loss,output_1_FN,output_1_FP,output_1_TN,output_1_TP,output_1_acc,output_1_auPRC,output_1_auROC,output_1_loss,output_2_FN,output_2_FP,output_2_TN,output_2_TP,output_2_acc,output_2_auPRC,output_2_auROC,output_2_loss,output_3_FN,output_3_FP,output_3_TN,output_3_TP,output_3_acc,output_3_auPRC,output_3_auROC,output_3_loss,output_4_FN,output_4_FP,output_4_TN,output_4_TP,output_4_acc,output_4_auPRC,output_4_auROC,output_4_loss,output_5_FN,output_5_FP,output_5_TN,output_5_TP,output_5_acc,output_5_auPRC,output_5_auROC,output_5_loss,output_6_FN,output_6_FP,output_6_TN,output_6_TP,output_6_acc,output_6_auPRC,output_6_auROC,output_6_loss,val_loss,val_output_1_FN,val_output_1_FP,val_output_1_TN,val_output_1_TP,val_output_1_acc,val_output_1_auPRC,val_output_1_auROC,val_output_1_loss,val_output_2_FN,val_output_2_FP,val_output_2_TN,val_output_2_TP,val_output_2_acc,val_output_2_auPRC,val_output_2_auROC,val_output_2_loss,val_output_3_FN,val_output_3_FP,val_output_3_TN,val_output_3_TP,val_output_3_acc,val_output_3_auPRC,val_output_3_auROC,val_output_3_loss,val_output_4_FN,val_output_4_FP,val_output_4_TN,val_output_4_TP,val_output_4_acc,val_output_4_auPRC,val_output_4_auROC,val_output_4_loss,val_output_5_FN,val_output_5_FP,val_output_5_TN,val_output_5_TP,val_output_5_acc,val_output_5_auPRC,val_output_5_auROC,val_output_5_loss,val_output_6_FN,val_output_6_FP,val_output_6_TN,val_output_6_TP,val_output_6_acc,val_output_6_auPRC,val_output_6_auROC,val_output_6_loss
0,7.125827312469482,6.0,6.0,99994.0,99994.0,0.9999399781227112,0.9999999403953552,1.0,0.06936170160770416,42974.0,24141.0,375859.0,57026.0,0.6960600018501282,0.7163152098655701,0.9089029431343079,0.8514068722724915,78389.0,18553.0,681447.0,21611.0,0.4165000021457672,0.38975587487220764,0.7875633239746094,2.322524070739746,100000.0,0.0,2200000.0,0.0,0.19223999977111816,0.174246147274971,0.8133112788200378,3.4089250564575195,100000.0,0.0,5600000.0,0.0,0.03897999972105026,0.054358966648578644,0.7005314826965332,7.051172733306885,100000.0,0.0,4300000.0,0.0,0.19755999743938446,0.06159195303916931,0.49732017517089844,11.072552680969238,6.909134864807129,0.0,0.0,25823.0,25823.0,1.0,1.0,0.9999998807907104,0.0027024259325116873,7778.0,7482.0,95810.0,18045.0,0.7046818733215332,0.821743369102478,0.9430145025253296,0.7482590079307556,14118.0,10428.0,170333.0,11705.0,0.472524493932724,0.515950083732605,0.8420580625534058,2.123469352722168,25823.0,0.0,568106.0,0.0,0.18777833878993988,0.2488633096218109,0.8603920936584473,3.0573816299438477,25823.0,0.0,1446088.0,0.0,0.10297022014856339,0.062269650399684906,0.7379680871963501,6.830539226531982,25823.0,0.0,1110389.0,0.0,0.14130812883377075,0.08667223155498505,0.5600025653839111,10.908516883850098
1,6.847018718719482,0.0,0.0,100000.0,100000.0,1.0,1.0,0.9999999403953552,0.001309284009039402,29646.0,26685.0,373315.0,70354.0,0.7162700295448303,0.8167197108268738,0.9400312900543213,0.6905554533004761,67922.0,23461.0,676539.0,32078.0,0.45458000898361206,0.4567437469959259,0.8309803605079651,1.852260947227478,100000.0,0.0,2200000.0,0.0,0.18765999376773834,0.26715999841690063,0.8665609359741211,2.997231960296631,100000.0,0.0,5600000.0,0.0,0.10307999700307846,0.09590571373701096,0.7523825764656067,6.728122711181641,100000.0,0.0,4300000.0,0.0,0.134660005569458,0.08785296976566315,0.5631295442581177,10.93233871459961,6.6842265129089355,0.0,0.0,25823.0,25823.0,1.0,1.0,1.0,0.000970910768955946,7516.0,6260.0,97032.0,18307.0,0.7283042073249817,0.8501837849617004,0.9512990713119507,0.629062294960022,21087.0,2057.0,178704.0,4736.0,0.5055570602416992,0.5521790385246277,0.8788781762123108,1.4022260904312134,25823.0,0.0,568106.0,0.0,0.18777833878993988,0.30042779445648193,0.8743665218353271,2.9476053714752197,25823.0,0.0,1446088.0,0.0,0.1486659198999405,0.13930965960025787,0.7691515684127808,6.483903408050537,25823.0,0.0,1110389.0,0.0,0.14142431318759918,0.09643258154392242,0.5628873109817505,10.849205017089844
2,6.215988636016846,0.0,0.0,100000.0,100000.0,1.0,1.0,0.9999999403953552,0.000595168792642653,25582.0,17907.0,382093.0,74418.0,0.777899980545044,0.8700574636459351,0.9565181136131287,0.5851995944976807,65411.0,13917.0,686083.0,34589.0,0.5331400036811829,0.5723515748977661,0.8874121308326721,1.3231440782546997,95027.0,1584.0,2198416.0,4973.0,0.18765999376773834,0.34039372205734253,0.882182240486145,2.8511555194854736,84746.0,12765.0,5587235.0,15254.0,0.2309499979019165,0.2327803075313568,0.7893462181091309,6.007306098937988,80401.0,18533.0,4281467.0,19599.0,0.24894000589847565,0.18152453005313873,0.6118061542510986,10.05720329284668,2.044654607772827,0.0,0.0,25823.0,25823.0,1.0,1.0,1.0,0.0011946766171604395,6624.0,4556.0,98736.0,19199.0,0.7766332626342773,0.8743842840194702,0.9590535759925842,0.5811134576797485,19551.0,2732.0,178029.0,6272.0,0.5964450240135193,0.5895174741744995,0.8912363648414612,1.3111358880996704,24520.0,444.0,567662.0,1303.0,0.18777833878993988,0.3164112865924835,0.8794047832489014,2.8526060581207275,21530.0,2850.0,1443238.0,4293.0,0.41737985610961914,0.39671221375465393,0.9296595454216003,2.5695388317108154,8430.0,6848.0,1103541.0,17393.0,0.7025132775306702,0.7069137692451477,0.9511153101921082,1.3349151611328125
3,1.6102184057235718,0.0,0.0,100000.0,100000.0,1.0,1.0,1.0,0.0005216796998865902,22846.0,14507.0,385493.0,77154.0,0.8095700144767761,0.8971589207649231,0.9655032753944397,0.5219806432723999,55869.0,13360.0,686640.0,44131.0,0.6130300164222717,0.653240442276001,0.9138211607933044,1.158434271812439,87603.0,4516.0,2195484.0,12397.0,0.18765999376773834,0.38556069135665894,0.8909977674484253,2.718398094177246,61017.0,26795.0,5573205.0,38983.0,0.5298699736595154,0.4858686625957489,0.9549562931060791,1.857111930847168,29865.0,23757.0,4276243.0,70135.0,0.7290099859237671,0.7528995275497437,0.9719617366790771,0.9900781512260437,1.4281150102615356,0.0,0.0,25823.0,25823.0,1.0,1.0,1.0,0.0002853549085557461,5578.0,3060.0,100232.0,20245.0,0.8278279304504395,0.9142004251480103,0.9717063307762146,0.47377580404281616,13933.0,3367.0,177394.0,11890.0,0.6081787347793579,0.6583488583564758,0.9198460578918457,1.0844389200210571,21543.0,1503.0,566603.0,4280.0,0.18777833878993988,0.4179792106151581,0.8976736664772034,2.6319823265075684,13713.0,7075.0,1439013.0,12110.0,0.5746040344238281,0.5701168179512024,0.9655118584632874,1.5860071182250977,7100.0,4835.0,1105554.0,18723.0,0.766642153263092,0.7909634709358215,0.9815006852149963,0.8301137685775757
4,1.590577483177185,0.0,0.0,100000.0,100000.0,1.0,1.0,1.0,0.00036497070686891675,22858.0,14973.0,385027.0,77142.0,0.8066800236701965,0.8974314332008362,0.9659947156906128,0.5141452550888062,52689.0,14700.0,685300.0,47311.0,0.6175000071525574,0.6677277088165283,0.9191038012504578,1.113217830657959,85663.0,6801.0,2193199.0,14337.0,0.2023099958896637,0.40773195028305054,0.8956481218338013,2.6612250804901123,58150.0,31878.0,5568122.0,41850.0,0.5272799730300903,0.43049076199531555,0.9401858448982239,1.9531296491622925,27769.0,20887.0,4279113.0,72231.0,0.7559099793434143,0.7808471322059631,0.9805261492729187,0.8426485657691956,1.8702888488769531,0.0,0.0,25823.0,25823.0,1.0,1.0,1.0,0.0011013034963980317,6149.0,3580.0,99712.0,19674.0,0.8078457117080688,0.9000773429870605,0.967125654220581,0.518028199672699,14837.0,3090.0,177671.0,10986.0,0.6270766258239746,0.6707689166069031,0.9246765971183777,1.1187275648117065,23522.0,459.0,567647.0,2301.0,0.26762962341308594,0.4317450225353241,0.8955785036087036,2.6657261848449707,18109.0,8212.0,1437876.0,7714.0,0.4489021301269531,0.36226722598075867,0.9106672406196594,2.571627140045166,7718.0,5161.0,1105228.0,18105.0,0.7533594369888306,0.7891554832458496,0.9816453456878662,0.9212173819541931
5,1.319593071937561,0.0,0.0,100000.0,100000.0,1.0,1.0,1.0,0.0003064321062993258,21294.0,11806.0,388194.0,78706.0,0.828790009021759,0.9174313545227051,0.9731045365333557,0.45824000239372253,51161.0,14765.0,685235.0,48839.0,0.6238099932670593,0.6994720101356506,0.9304153323173523,1.0202558040618896,83477.0,7097.0,2192903.0,16523.0,0.2195499986410141,0.4463713765144348,0.9021725058555603,2.5675952434539795,55232.0,22245.0,5577755.0,44768.0,0.5866100192070007,0.5885133743286133,0.9694889187812805,1.4391288757324219,23994.0,17648.0,4282352.0,76006.0,0.7891799807548523,0.8249096274375916,0.9851360321044922,0.7246475219726562,1.2484660148620605,0.0,0.0,25823.0,25823.0,1.0,1.0,1.0,0.00013938063057139516,5231.0,2918.0,100374.0,20592.0,0.8345273733139038,0.9255179166793823,0.9758560657501221,0.43259748816490173,12393.0,3617.0,177144.0,13430.0,0.6302133798599243,0.7187821865081787,0.9345172643661499,0.9907745122909546,21439.0,2227.0,565879.0,4384.0,0.21209774911403656,0.46029216051101685,0.9051752686500549,2.5294482707977295,14505.0,4459.0,1441629.0,11318.0,0.633272647857666,0.6289294958114624,0.9744285345077515,1.3096479177474976,5794.0,4749.0,1105640.0,20029.0,0.7950664162635803,0.8349353671073914,0.9859645962715149,0.6959109902381897
6,1.3868682384490967,0.0,0.0,100000.0,100000.0,1.0,1.0,1.0,0.00012248304847162217,20833.0,12700.0,387300.0,79167.0,0.8259999752044678,0.9105231761932373,0.9705889821052551,0.4742848575115204,50353.0,15457.0,684543.0,49647.0,0.6228299736976624,0.6933871507644653,0.9253372550010681,1.055675983428955,84678.0,6743.0,2193257.0,15322.0,0.2736400067806244,0.4497140645980835,0.9021740555763245,2.5735464096069336,52918.0,23886.0,5576114.0,47082.0,0.5970199704170227,0.550715982913971,0.9605277180671692,1.5175739526748657,23378.0,19023.0,4280977.0,76622.0,0.785040020942688,0.7911091446876526,0.9784518480300903,0.8241894245147705,1.5612906217575073,0.0,0.0,25823.0,25823.0,1.0,1.0,1.0,0.00017357475007884204,5270.0,2834.0,100458.0,20553.0,0.83781898021698,0.92276531457901,0.9748163223266602,0.45013946294784546,13202.0,3477.0,177284.0,12621.0,0.6334663033485413,0.7117509245872498,0.9309381246566772,1.0127193927764893,21491.0,2176.0,565930.0,4332.0,0.41397204995155334,0.4524405300617218,0.903277575969696,2.5571911334991455,12979.0,7581.0,1438507.0,12844.0,0.5751849412918091,0.5497057437896729,0.9559370279312134,1.600015640258789,9342.0,9008.0,1101381.0,16481.0,0.6446191668510437,0.5729692578315735,0.9560340046882629,1.2875059843063354
7,1.1027096509933472,0.0,0.0,100000.0,100000.0,1.0,1.0,1.0,9.928776853485033e-05,19776.0,10971.0,389029.0,80224.0,0.8406000137329102,0.9270007610321045,0.9764586091041565,0.42790117859840393,47254.0,13704.0,686296.0,52746.0,0.6483299732208252,0.7379553318023682,0.9375761151313782,0.9564602375030518,57598.0,18180.0,2181820.0,42402.0,0.5689799785614014,0.6331298351287842,0.9427764415740967,1.6612681150436401,49298.0,21762.0,5578238.0,50702.0,0.6275399923324585,0.6380400061607361,0.9725454449653625,1.3010622262954712,22324.0,17379.0,4282621.0,77676.0,0.7993699908256531,0.8337345123291016,0.985063374042511,0.7071718573570251,0.976832389831543,0.0,0.0,25823.0,25823.0,1.0,1.0,1.0,5.882823097635992e-05,5066.0,2689.0,100603.0,20757.0,0.8471904993057251,0.9315379858016968,0.9779306650161743,0.4121774733066559,11782.0,3481.0,177280.0,14041.0,0.6564690470695496,0.7581175565719604,0.9438701272010803,0.9092738032341003,12409.0,5078.0,563028.0,13414.0,0.6342408061027527,0.7226905822753906,0.9662885665893555,1.1544381380081177,11859.0,5438.0,1440650.0,13964.0,0.6398946642875671,0.6787106394767761,0.9762929677963257,1.2143175601959229,5437.0,4676.0,1105713.0,20386.0,0.8033536076545715,0.8460409641265869,0.9860098361968994,0.6971886157989502
8,1.0827322006225586,0.0,0.0,100000.0,100000.0,1.0,1.0,1.0,8.730425906833261e-05,20036.0,11744.0,388256.0,79964.0,0.8347799777984619,0.9241276979446411,0.975302517414093,0.4363710880279541,46303.0,13433.0,686567.0,53697.0,0.6596099734306335,0.7499474883079529,0.9397881031036377,0.946323812007904,53484.0,23689.0,2176311.0,46516.0,0.5798299908638,0.6044647693634033,0.9420294165611267,1.4900599718093872,49662.0,23313.0,5576687.0,50338.0,0.6166999936103821,0.6056700348854065,0.9683590531349182,1.354816198348999,21214.0,16085.0,4283915.0,78786.0,0.8108100295066833,0.8504078984260559,0.987027108669281,0.6648005247116089,0.9437033534049988,0.0,0.0,25823.0,25823.0,1.0,1.0,1.0,6.343684071907774e-05,5088.0,2610.0,100682.0,20735.0,0.8469968438148499,0.9335511922836304,0.9787499904632568,0.4048236608505249,11640.0,3179.0,177582.0,14183.0,0.6846997141838074,0.7749066948890686,0.9466633796691895,0.8836348652839661,12571.0,4621.0,563485.0,13252.0,0.6420632600784302,0.7280754446983337,0.9675328731536865,1.099434733390808,12157.0,5620.0,1440468.0,13666.0,0.6367192268371582,0.6626408696174622,0.9765875339508057,1.2072675228118896,5120.0,3979.0,1106410.0,20703.0,0.8213220834732056,0.8630391955375671,0.9870995283126831,0.6359129548072815
9,0.9746195077896118,0.0,0.0,100000.0,100000.0,1.0,1.0,1.0,4.932386218570173e-05,19140.0,11030.0,388970.0,80860.0,0.8438000082969666,0.9314729571342468,0.9780294299125671,0.4117721915245056,43871.0,12674.0,687326.0,56129.0,0.6887199878692627,0.7792373895645142,0.9474878907203674,0.8821291923522949,47813.0,17346.0,2182654.0,52187.0,0.6450300216674805,0.7333506941795349,0.9675650000572205,1.1021896600723267,47558.0,21697.0,5578303.0,52442.0,0.6363999843597412,0.6379782557487488,0.972047746181488,1.2783957719802856,20268.0,15771.0,4284229.0,79732.0,0.8170099854469299,0.8636358380317688,0.9878084063529968,0.6394824981689453,0.9326189756393433,0.0,0.0,25823.0,25823.0,1.0,1.0,1.0,4.821757465833798e-05,4840.0,2654.0,100638.0,20983.0,0.8507919311523438,0.9364409446716309,0.9797196984291077,0.39617419242858887,11569.0,3929.0,176832.0,14254.0,0.6541455388069153,0.7401860952377319,0.9382779598236084,0.9312661290168762,12059.0,4256.0,563850.0,13764.0,0.6584440469741821,0.7545092105865479,0.9709945321083069,1.0353596210479736,11807.0,4976.0,1441112.0,14016.0,0.6508538722991943,0.6906151175498962,0.9767534136772156,1.2065144777297974,4999.0,3977.0,1106412.0,20824.0,0.8239941000938416,0.8696722388267517,0.9875485897064209,0.627690315246582
