class,ERR1754760,ERR1754761,ERR1754762,ERR1754763,ERR1754764,ERR1754765,ERR1754766,ERR1754767,ERR1754768,ERR1754769
sk__Archaea;p__;c__,19.0,63.0,10.0,45.0,69.0,38.0,39.0,40.0,10.0,40.0
sk__Archaea;p__Thaumarchaeota;c__,83.0,187.0,35.0,179.0,265.0,175.0,268.0,134.0,81.0,340.0
sk__Archaea;p__Thaumarchaeota;c__,83.0,187.0,35.0,179.0,265.0,175.0,268.0,134.0,81.0,340.0
sk__Archaea;p__Thaumarchaeota;c__Nitrososphaeria,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0
sk__Bacteria;p__;c__,5188.0,3107.0,2368.0,3317.0,3622.0,2190.0,3234.0,2786.0,4710.0,2566.0
sk__Bacteria;p__;c__,5188.0,3107.0,2368.0,3317.0,3622.0,2190.0,3234.0,2786.0,4710.0,2566.0
sk__Bacteria;p__;c__,5188.0,3107.0,2368.0,3317.0,3622.0,2190.0,3234.0,2786.0,4710.0,2566.0
sk__Bacteria;p__;c__,5188.0,3107.0,2368.0,3317.0,3622.0,2190.0,3234.0,2786.0,4710.0,2566.0
sk__Bacteria;p__Acidobacteria;c__,6767.0,11443.0,3223.0,9088.0,15859.0,5559.0,17974.0,7922.0,5550.0,7326.0
sk__Bacteria;p__Acidobacteria;c__,6767.0,11443.0,3223.0,9088.0,15859.0,5559.0,17974.0,7922.0,5550.0,7326.0
sk__Bacteria;p__Acidobacteria;c__Vicinamibacteria,4.0,3.0,0.0,3.0,2.0,1.0,7.0,2.0,2.0,1.0
sk__Bacteria;p__Acidobacteria;c__Acidobacteriia,1187.0,573.0,274.0,1919.0,1326.0,436.0,1113.0,1496.0,329.0,1758.0
sk__Bacteria;p__Acidobacteria;c__Acidobacteriia,1187.0,573.0,274.0,1919.0,1326.0,436.0,1113.0,1496.0,329.0,1758.0
sk__Bacteria;p__Acidobacteria;c__Acidobacteriia,1187.0,573.0,274.0,1919.0,1326.0,436.0,1113.0,1496.0,329.0,1758.0
sk__Bacteria;p__Acidobacteria;c__Blastocatellia,1635.0,1720.0,619.0,2078.0,1927.0,1034.0,3843.0,1871.0,1984.0,2455.0
sk__Bacteria;p__Acidobacteria;c__Blastocatellia,1635.0,1720.0,619.0,2078.0,1927.0,1034.0,3843.0,1871.0,1984.0,2455.0
sk__Bacteria;p__Acidobacteria;c__Blastocatellia,1635.0,1720.0,619.0,2078.0,1927.0,1034.0,3843.0,1871.0,1984.0,2455.0
sk__Bacteria;p__Acidobacteria;c__Blastocatellia,1635.0,1720.0,619.0,2078.0,1927.0,1034.0,3843.0,1871.0,1984.0,2455.0
sk__Bacteria;p__Acidobacteria;c__Blastocatellia,1635.0,1720.0,619.0,2078.0,1927.0,1034.0,3843.0,1871.0,1984.0,2455.0
sk__Bacteria;p__Acidobacteria;c__Holophagae,135.0,123.0,84.0,122.0,117.0,26.0,193.0,91.0,77.0,73.0
sk__Bacteria;p__Acidobacteria;c__Holophagae,135.0,123.0,84.0,122.0,117.0,26.0,193.0,91.0,77.0,73.0
sk__Bacteria;p__Acidobacteria;c__Holophagae,135.0,123.0,84.0,122.0,117.0,26.0,193.0,91.0,77.0,73.0
sk__Bacteria;p__Acidobacteria;c__,6767.0,11443.0,3223.0,9088.0,15859.0,5559.0,17974.0,7922.0,5550.0,7326.0
sk__Bacteria;p__Acidobacteria;c__Acidobacteriia,1187.0,573.0,274.0,1919.0,1326.0,436.0,1113.0,1496.0,329.0,1758.0
sk__Bacteria;p__Acidobacteria;c__Acidobacteriia,1187.0,573.0,274.0,1919.0,1326.0,436.0,1113.0,1496.0,329.0,1758.0
sk__Bacteria;p__Acidobacteria;c__Acidobacteriia,1187.0,573.0,274.0,1919.0,1326.0,436.0,1113.0,1496.0,329.0,1758.0
sk__Bacteria;p__Acidobacteria;c__Acidobacteriia,1187.0,573.0,274.0,1919.0,1326.0,436.0,1113.0,1496.0,329.0,1758.0
sk__Bacteria;p__Acidobacteria;c__Acidobacteriia,1187.0,573.0,274.0,1919.0,1326.0,436.0,1113.0,1496.0,329.0,1758.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria,1732.0,345.0,1228.0,1822.0,795.0,406.0,1135.0,3351.0,5706.0,795.0
sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia,461.0,234.0,230.0,723.0,477.0,130.0,530.0,693.0,337.0,506.0
sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia,461.0,234.0,230.0,723.0,477.0,130.0,530.0,693.0,337.0,506.0
sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia,461.0,234.0,230.0,723.0,477.0,130.0,530.0,693.0,337.0,506.0
sk__Bacteria;p__Actinobacteria;c__Acidimicrobiia,461.0,234.0,230.0,723.0,477.0,130.0,530.0,693.0,337.0,506.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria,1732.0,345.0,1228.0,1822.0,795.0,406.0,1135.0,3351.0,5706.0,795.0
sk__Bacteria;p__Actinobacteria;c__Actinobacteria,1732.0,345.0,1228.0,1822.0,795.0,406.0,1135.0,3351.0,5706.0,795.0
