taxonomy,ERR1754760,ERR1754761,ERR1754762,ERR1754763,ERR1754764,ERR1754765,ERR1754766,ERR1754767,ERR1754768,ERR1754769,superkingdom,phylum,class,order,family,genus,species
sk__Archaea,19.0,63.0,10.0,45.0,69.0,38.0,39.0,40.0,10.0,40.0,sk__Archaea,sk__Archaea;p__,sk__Archaea;p__;c__,sk__Archaea;p__;c__;o__,sk__Archaea;p__;c__;o__;f__,sk__Archaea;p__;c__;o__;f__;g__,sk__Archaea;p__;c__;o__;f__;g__;s__
sk__Archaea;k__;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae,45.0,47.0,9.0,66.0,76.0,56.0,99.0,60.0,50.0,210.0,sk__Archaea,sk__Archaea;p__Thaumarchaeota,sk__Archaea;p__Thaumarchaeota;c__,sk__Archaea;p__Thaumarchaeota;c__;o__Nitrosopumilales,sk__Archaea;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae,sk__Archaea;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae;g__,sk__Archaea;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae;g__;s__
sk__Archaea;k__;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Candidatus_Nitrosoarchaeum,38.0,140.0,26.0,109.0,179.0,116.0,168.0,70.0,30.0,118.0,sk__Archaea,sk__Archaea;p__Thaumarchaeota,sk__Archaea;p__Thaumarchaeota;c__,sk__Archaea;p__Thaumarchaeota;c__;o__Nitrosopumilales,sk__Archaea;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae,sk__Archaea;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae;g__,sk__Archaea;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae;g__;s__
sk__Archaea;k__;p__Thaumarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,sk__Archaea,sk__Archaea;p__Thaumarchaeota,sk__Archaea;p__Thaumarchaeota;c__Nitrososphaeria,sk__Archaea;p__Thaumarchaeota;c__Nitrososphaeria;o__Nitrososphaerales,sk__Archaea;p__Thaumarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae,sk__Archaea;p__Thaumarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__,sk__Archaea;p__Thaumarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__
sk__Bacteria,5174.0,3095.0,2363.0,3295.0,3600.0,2171.0,3218.0,2774.0,4695.0,2550.0,sk__Bacteria,sk__Bacteria;p__,sk__Bacteria;p__;c__,sk__Bacteria;p__;c__;o__,sk__Bacteria;p__;c__;o__;f__,sk__Bacteria;p__;c__;o__;f__;g__,sk__Bacteria;p__;c__;o__;f__;g__;s__
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__agricultural_soil_bacterium_SC-I-11,9.0,1.0,1.0,1.0,8.0,7.0,3.0,5.0,13.0,6.0,sk__Bacteria,sk__Bacteria;p__,sk__Bacteria;p__;c__,sk__Bacteria;p__;c__;o__,sk__Bacteria;p__;c__;o__;f__,sk__Bacteria;p__;c__;o__;f__;g__,sk__Bacteria;p__;c__;o__;f__;g__;s__agricultural soil bacterium SC-I-11
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_endosymbiont_of_Mortierella_elongata,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,sk__Bacteria,sk__Bacteria;p__,sk__Bacteria;p__;c__,sk__Bacteria;p__;c__;o__,sk__Bacteria;p__;c__;o__;f__,sk__Bacteria;p__;c__;o__;f__;g__,sk__Bacteria;p__;c__;o__;f__;g__;s__bacterium endosymbiont of Mortierella elongata
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_enrichment_culture_clone_auto84_4W,4.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,0.0,4.0,sk__Bacteria,sk__Bacteria;p__,sk__Bacteria;p__;c__,sk__Bacteria;p__;c__;o__,sk__Bacteria;p__;c__;o__;f__,sk__Bacteria;p__;c__;o__;f__;g__,sk__Bacteria;p__;c__;o__;f__;g__;s__
sk__Bacteria;k__;p__Acidobacteria,6671.0,11395.0,3204.0,8914.0,15768.0,5532.0,17859.0,7800.0,5491.0,7123.0,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__,sk__Bacteria;p__Acidobacteria;c__;o__,sk__Bacteria;p__Acidobacteria;c__;o__;f__,sk__Bacteria;p__Acidobacteria;c__;o__;f__;g__,sk__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__
sk__Bacteria;k__;p__Acidobacteria;c__;o__;f__;g__;s__Acidobacteria_bacterium_WWH4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sk__Bacteria,sk__Bacteria;p__Acidobacteria,sk__Bacteria;p__Acidobacteria;c__,sk__Bacteria;p__Acidobacteria;c__;o__,sk__Bacteria;p__Acidobacteria;c__;o__;f__,sk__Bacteria;p__Acidobacteria;c__;o__;f__;g__,sk__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__Acidobacteria bacterium WWH4
