,superkingdom,phylum,class,order,family,genus,species
0,2157,,,,,,
1,2157,651137,,31932,338190,,
2,2157,651137,,31932,338190,,
3,2157,651137,1643678,1033996,1033997,,
4,2,,,,,,
5,2,,,,,,102412
6,2,,,,,,759820
7,2,,,,,,
8,2,57723,,,,,
9,2,57723,,,,,1387463
10,2,57723,1813735,,2211325,2004797,
11,2,57723,204432,,,,
12,2,57723,204432,204433,,,
13,2,57723,204432,204433,204434,33973,1391499
14,2,57723,1562566,,,,
15,2,57723,1562566,1748771,1748772,1562564,
16,2,57723,1562566,1748771,1748772,1281902,
17,2,57723,1562566,1748771,1748772,1748767,
18,2,57723,1562566,1748771,2048906,,
19,2,57723,533205,,,,
20,2,57723,533205,574975,,,
21,2,57723,533205,574975,574976,,
22,2,57723,,,,,
23,2,57723,204432,332160,1962910,,
24,2,57723,204432,332160,1962910,911113,
25,2,57723,204432,332160,1962910,1649475,
26,2,57723,204432,332160,332161,,
27,2,57723,204432,332160,332161,332162,
28,2,201174,1760,,,,
29,2,201174,84992,,,,
30,2,201174,84992,84993,633392,,
31,2,201174,84992,84993,633392,1648491,1052257
32,2,201174,84992,84993,633392,467975,
33,2,201174,1760,,,,
34,2,201174,1760,,,,573129
35,2,201174,1760,2037,,,
36,2,201174,1760,2037,2049,1654,
37,2,201174,1760,85007,1653,,
38,2,201174,1760,85007,1653,1716,
39,2,201174,1760,85007,1762,1763,
40,2759,6656,50557,7524,30189,1661425,
41,2,201174,1760,85013,,,
42,2,201174,1760,2495577,622454,435913,
43,2,201174,1760,85013,74712,1434010,
44,2,201174,1760,2495578,85033,,
45,2,201174,1760,1643682,85030,,
46,2,201174,1760,1643682,85030,38501,
47,2,201174,1760,622452,,,
48,2,201174,1760,622452,83778,,
49,2,201174,1760,85006,,,
50,2,201174,1760,85006,85018,,
51,2,201174,1760,85006,85021,,
52,2,201174,1760,85006,85021,367298,
53,2,201174,1760,85006,85023,,
54,2,201174,1760,85006,1268,,
55,2,201174,1760,85006,1268,1663,
56,2,201174,1760,85006,1268,57493,
57,2,201174,1760,85008,28056,,
58,2,201174,1760,85008,28056,53365,
59,2,201174,1760,85008,28056,349314,752680
60,2,201174,1760,1643684,85031,53460,
61,2,201174,1760,85009,85015,,
62,2,201174,1760,85009,85015,86795,
63,2,201174,1760,85009,85015,1839,
64,2,201174,1760,85011,,,
65,2,201174,1760,85011,2062,,
66,2,201174,1760,85011,2062,1883,
67,2,201174,84995,1154584,,,
68,2,201174,84995,1154584,1154585,,
69,2,201174,84995,1154584,1154585,1154586,
70,2,201174,84995,84996,84997,42255,
71,2,201174,1497346,,,,
72,2,201174,1497346,588673,,,
73,2,201174,1497346,588673,320583,191494,
74,2,201174,1497346,588673,320599,,
75,2,201174,1497346,588673,320599,207599,
76,2,67819,,,,,
77,2,67819,,,,,1895717
78,2,67819,1042312,1042313,,,
79,2,67819,1042312,1042313,1042314,,
80,2,67819,1042312,1042313,1042314,1042315,
81,2,67819,1042312,1042313,1042314,1042315,685828
82,2,67819,1077257,1077263,,,
83,2,67819,1077257,1077263,1077264,,
84,2,67819,1077257,1077263,1077264,1077265,
85,2,67819,1663419,1663425,,,
86,2,67819,1663419,1663425,1663426,,
87,2,976,,,,,
88,2,976,200643,,,,
89,2,976,200643,171549,2005519,,
90,2,976,200643,171549,1840213,,
91,2,976,200643,171549,2005523,346096,
92,2,976,200643,1970189,1471398,,
93,2,976,1853228,,,,
94,2,976,1853228,1853229,,,
95,2,976,1853228,1853229,563835,,
96,2,976,1853228,1853229,563835,79328,
97,2,976,1853228,1853229,563835,1795363,
98,2,976,1853228,1853229,563835,1004303,
99,2,976,1853228,1853229,563835,649460,
100,2,976,1853228,1853229,563835,1789690,
101,2,976,1853228,1853229,563835,1004301,
102,2,976,1853228,1853229,563835,398041,
103,2,976,1853228,1853229,563835,649461,
104,2,976,1853228,1853229,563835,1649476,
105,2,976,1853228,1853229,563835,1884792,
106,2,976,1853228,1853229,563835,504481,
107,2,976,1853228,1853229,563835,460073,
108,2,976,1853228,1853229,563835,1434702,
109,2,976,1853228,1853229,563835,296051,
110,2,976,1853228,1853229,563835,296051,624405
111,2,976,1853228,1853229,563835,296051,1914338
112,2,976,768503,768507,,,
113,2,976,768503,768507,,1433993,
114,2,976,768503,768507,563798,246875,
115,2,976,768503,768507,89373,,
116,2,976,768503,768507,89373,978,
117,2,976,768503,768507,89373,120831,
118,2,976,768503,768507,89373,312278,
119,2,976,768503,768507,89373,861914,
120,2,976,768503,768507,89373,107,
121,2,976,768503,768507,89373,1011,
122,2,976,768503,768507,1853232,,
123,2,976,768503,768507,1853232,299566,
124,2,976,768503,768507,1853232,89966,
125,2,976,768503,768507,1937962,,
126,2,976,117743,,,,
127,2,976,117743,200644,,,
128,2,976,117743,200644,1853230,332102,
129,2,976,117743,200644,49546,,
130,2,976,117743,200644,49546,59732,
131,2,976,117743,200644,49546,1534975,
132,2,976,117743,200644,49546,237,
133,2,976,117743,200644,49546,237,1392773
134,2,976,1937959,1936988,,,
135,2,976,1937959,1936988,1937961,,
136,2,976,1937959,1936988,1937961,2349,
137,2,976,1937959,1936988,1937961,1564515,
138,2,976,1937959,1936988,1937960,,
139,2,976,1937959,1936988,89374,,
140,2,976,117747,,,,
141,2,976,117747,200666,,,
142,2,976,117747,200666,84566,,
143,2,976,117747,200666,84566,423349,
144,2,976,117747,200666,84566,84567,
145,2,1930617,1962850,1962852,1962854,,
146,2,1752741,,,,,
147,2,1752727,,,,,
148,2,1752734,,,,,
149,2,1817908,,,,,
150,2,1817910,,,,,
151,2,1752731,,,,,
152,2,1752729,,,,,
153,2,67812,,,,,
154,2,67812,,,,1431823,
155,2,221216,,,,,
156,2,1619053,,,,,
157,2,1619053,1801911,,,,
158,2,1752732,,,,,
159,2,1752722,,,,,
160,2,1817925,,,,,
161,2,204428,,,,,
162,2,204428,204429,,,,
163,2,204428,204429,51291,,,
164,2,204428,204429,1963360,,,
165,2,204428,204429,1963360,92713,,
166,2,204428,204429,1963360,92713,749220,
167,2,204428,204429,1963360,92713,282132,
168,2,204428,204429,1963360,92713,112987,
169,2,204428,204429,1963360,92713,83551,
170,2,204428,204429,1963360,689704,,
171,2,204428,204429,1963360,92712,,
172,2,200795,,,,,
173,2,200795,292625,,,,
174,2,200795,292625,292629,,,
175,2,200795,292625,292629,292628,,
176,2,200795,1382928,1382929,,,
177,2,200795,475962,475963,,,
178,2,200795,475962,475963,475964,,
179,2,200795,32061,32064,,,
180,2,200795,32061,32064,1508635,,
181,2,200795,301297,,,,
182,2,200795,388447,,,,
183,2,200795,388447,388448,388449,,
184,2,200795,189775,85001,,,
185,2,200795,189775,189776,,,
186,2,1117,,,,,
187,2,1117,,1118,1890464,70190,980454
188,2,1117,,1118,1890449,,
189,2,1117,,1161,,,
190,2,1117,,1161,1162,,
191,2,1117,,1161,1162,1163,
192,2,1117,,1150,,,
193,2,1117,,1890424,,,
194,2,1117,,1890424,1890431,217161,
195,2,1117,,1890424,1890430,283821,
196,2,1117,,1890424,1890438,,
197,2,1117,,1890424,1890426,,
198,2,1297,188787,118964,,,
199,2,1297,188787,118964,183710,,
200,2,1297,188787,118964,183710,1298,
201,2,1297,188787,118964,332247,,
202,2,1297,188787,68933,188786,65551,
203,2,74152,641853,,,,
204,2,74152,641853,,,,
205,2,65842,204430,218872,204431,,
206,2,1239,,,,,
207,2,1239,,,,1501224,
208,2,1239,91061,,,,
209,2,1239,91061,1385,,,
210,2,1239,91061,1385,,33986,
211,2,1239,91061,1385,186823,,
212,2,1239,91061,1385,186823,432330,
213,2,1239,91061,1385,186823,432330,363888
214,2,1239,91061,1385,186817,,
215,2759,6656,50557,7020,55086,55087,
216,2,1239,91061,1385,186817,129337,
217,2,1239,91061,1385,186822,,
218,2,1239,91061,1385,186822,55080,
219,2,1239,91061,1385,186822,44249,
220,2,1239,91061,1385,186822,456492,
221,2,1239,91061,1385,186818,,
222,2,1239,91061,1385,186818,648800,
223,2,1239,91061,1385,186818,160795,
224,2,1239,91061,186826,,,
225,2,1239,91061,186826,81850,1243,
226,2,1239,91061,186826,81850,46255,
227,2,1239,186801,,,,
228,2,1239,186801,186802,,,
229,2,1239,186801,186802,31979,1485,
230,2,1239,186801,186802,31979,1434004,
231,2,1239,186801,186802,186807,,
232,2,1239,186801,186802,186807,79206,
233,2,1239,186801,186802,186804,,
234,2,1239,186801,186802,186804,1501226,
235,2,1239,186801,186802,186804,360541,
236,2,1239,186801,186802,541000,,
237,2,1239,526524,526525,128827,191303,
238,2,1239,1737404,,,1582879,
239,2,1239,1737404,,,190972,
240,2,142182,219685,,,,
241,2,142182,219685,219686,219687,,
242,2,142182,219685,219686,219687,173479,
243,2,142182,1804991,1804992,1804993,,
244,2,1134404,795747,,,,
245,2,134625,1921781,,,,
246,2,40117,,,,,
247,2,40117,203693,189778,189779,1234,
248,2,203682,,,,,
249,2,203682,666505,,,,
250,2,203682,666505,666506,,,
251,2,203682,666505,666506,666507,,
252,2,203682,666505,1771349,,,
253,2,203682,203683,112,,,
254,2,203682,203683,2691355,1914233,,
255,2,203682,203683,2691355,1914233,1914234,
256,2,203682,203683,2691355,1914233,113,
257,2,203682,203683,2691355,1914233,1382832,
258,2,203682,203683,2691355,1914233,600332,
259,2,203682,203683,2691356,1763524,,
260,2,203682,203683,2691356,1763524,1511635,
261,2,203682,203683,2691356,1763524,466152,
262,2,203682,203683,112,126,,
263,2,203682,203683,112,126,,1387502
264,2,203682,203683,2691354,2691357,265487,
265,2,203682,203683,2691354,2691357,123,
266,2,203682,203683,112,126,1779141,
267,2,203682,203683,112,126,118,
268,2,203682,203683,112,126,1649480,
269,2,203682,203683,2691354,2691357,265488,
270,2,203682,203683,112,126,656899,
271,2,1224,,,,,
272,2,1224,28211,,,,
273,2,1224,28211,,,,1913988
274,2,1224,28211,,,1632780,
275,2,1224,28211,204441,433,268408,
276,2,1224,28211,204458,,,
277,2,1224,28211,204458,76892,,
278,2,1224,28211,204458,76892,76890,
279,2,1224,28211,204458,76892,41275,
280,2,1224,28211,204458,76892,75,
281,2,1224,28211,204458,76892,20,
282,2,1224,28211,1921002,,,
283,2,1224,28211,1921002,1777752,1777753,
284,2,1224,28211,1921002,1777752,1777753,1696036
285,2,1224,28211,1921002,1777752,1521255,
286,2,1224,28211,1921002,44746,,
287,2,1224,28211,597358,597359,,
288,2,1224,28211,1921567,1921568,,
289,2,1224,28211,1921567,1921568,1241326,
290,2,1224,28211,255473,,,
291,2,1224,28211,255473,255474,1519373,
292,2,1224,28211,356,,,
293,2,1224,28211,356,,1145345,
294,2,1224,28211,356,,169055,
295,2,1224,28211,356,,1734920,
296,2,1224,28211,356,255475,,
297,2,1224,28211,356,45404,,
298,2,1224,28211,356,45404,532,
299,2,1224,28211,356,45404,1277353,
300,2,1224,28211,356,41294,,
301,2,1224,28211,356,41294,374,
302,2,1224,28211,356,118882,,
303,2,1224,28211,356,45401,,
304,2,1224,28211,356,45401,59282,
305,2,1224,28211,356,45401,46913,
306,2,1224,28211,356,45401,119044,
307,2,1224,28211,356,45401,81,
308,2,1224,28211,356,45401,47494,
309,2,1224,28211,356,45401,29407,
310,2,1224,28211,356,119045,407,
311,2,1224,28211,356,69277,,
312,2,1224,28211,356,69277,245876,
313,2,1224,28211,356,82115,,
314,2,1224,28211,356,82115,379,
315,2,1224,28211,356,82115,323620,
316,2,1224,28211,356,119043,,
317,2,1224,28211,356,119043,256616,
318,2759,6656,50557,7524,27482,869314,
319,2,1224,28211,356,1643957,1643958,
320,2,1224,28211,356,335928,,
321,2759,6231,119089,6236,114893,2066135,
322,2,1224,28211,356,335928,556257,
323,2,1224,28211,204455,,,
324,2,1224,28211,204455,69657,,
325,2,1224,28211,204455,69657,2723,
326,2,1224,28211,204455,31989,,
327,2,1224,28211,204455,31989,1653176,
328,2,1224,28211,204455,31989,227873,
329,2,1224,28211,204455,31989,1060,
330,2,1224,28211,204455,31989,1640884,
331,2,1224,28211,204455,31989,295418,
332,2,1224,28211,204441,,,
333,2,1224,28211,204441,,445219,
334,2,1224,28211,204441,433,,
335,2,1224,28211,204441,433,504465,
336,2,1224,28211,204441,433,125216,
337,2,1224,28211,204441,433,182402,
338,2,1224,28211,204441,2066434,,
339,2,1224,28211,204441,41295,,
340,2,1224,28211,204441,41295,191,
341,2,1224,28211,204441,41295,1146845,
342,2,1224,28211,204441,41295,1091044,
343,2,1224,28211,766,,,
344,2,1224,28211,766,,1885584,1885585
345,2,1224,28211,766,1328881,,
346,2,1224,28211,766,1328881,1891672,
347,2,1224,28211,766,775,,
348,2,1224,28211,766,775,1742636,
349,2,1224,28211,766,775,780,
350,2,1224,28211,510684,510685,,
351,2,1224,28211,204457,,,
352,2,1224,28211,204457,335929,,
353,2,1224,28211,204457,41297,,
354,2,1224,28211,204457,41297,165696,
355,2,1224,28211,204457,41297,1654718,
