phylum,ERR1754760,ERR1754761,ERR1754762,ERR1754763,ERR1754764,ERR1754765,ERR1754766,ERR1754767,ERR1754768,ERR1754769
sk__Archaea;p__,19.0,63.0,10.0,45.0,69.0,38.0,39.0,40.0,10.0,40.0
sk__Archaea;p__Thaumarchaeota,84.0,187.0,35.0,180.0,265.0,175.0,268.0,136.0,83.0,341.0
sk__Archaea;p__Thaumarchaeota,84.0,187.0,35.0,180.0,265.0,175.0,268.0,136.0,83.0,341.0
sk__Archaea;p__Thaumarchaeota,84.0,187.0,35.0,180.0,265.0,175.0,268.0,136.0,83.0,341.0
sk__Bacteria;p__,5188.0,3107.0,2368.0,3317.0,3622.0,2190.0,3234.0,2786.0,4710.0,2566.0
sk__Bacteria;p__,5188.0,3107.0,2368.0,3317.0,3622.0,2190.0,3234.0,2786.0,4710.0,2566.0
sk__Bacteria;p__,5188.0,3107.0,2368.0,3317.0,3622.0,2190.0,3234.0,2786.0,4710.0,2566.0
sk__Bacteria;p__,5188.0,3107.0,2368.0,3317.0,3622.0,2190.0,3234.0,2786.0,4710.0,2566.0
sk__Bacteria;p__Acidobacteria,9728.0,13862.0,4200.0,13210.0,19231.0,7056.0,23130.0,11382.0,7942.0,11613.0
sk__Bacteria;p__Acidobacteria,9728.0,13862.0,4200.0,13210.0,19231.0,7056.0,23130.0,11382.0,7942.0,11613.0
sk__Bacteria;p__Acidobacteria,9728.0,13862.0,4200.0,13210.0,19231.0,7056.0,23130.0,11382.0,7942.0,11613.0
sk__Bacteria;p__Acidobacteria,9728.0,13862.0,4200.0,13210.0,19231.0,7056.0,23130.0,11382.0,7942.0,11613.0
sk__Bacteria;p__Acidobacteria,9728.0,13862.0,4200.0,13210.0,19231.0,7056.0,23130.0,11382.0,7942.0,11613.0
sk__Bacteria;p__Acidobacteria,9728.0,13862.0,4200.0,13210.0,19231.0,7056.0,23130.0,11382.0,7942.0,11613.0
sk__Bacteria;p__Acidobacteria,9728.0,13862.0,4200.0,13210.0,19231.0,7056.0,23130.0,11382.0,7942.0,11613.0
sk__Bacteria;p__Acidobacteria,9728.0,13862.0,4200.0,13210.0,19231.0,7056.0,23130.0,11382.0,7942.0,11613.0
sk__Bacteria;p__Acidobacteria,9728.0,13862.0,4200.0,13210.0,19231.0,7056.0,23130.0,11382.0,7942.0,11613.0
